Category,No.,Name,Level,Current PPH,Price-to-upgrade,Added PPH,Cumulative Cost,NPV,Efficiency,Combined Metric
Legal,14,Lic. Ethiopia,9,21560,487850,3300,1425479,1158584024,-2.17,7832989.3
Specials,8,NFT Collection Launch,9,14370,236950,2200,692359,772556171,-2.032,7176787.1
PR&Team,25,Tokenomics expert,7,4320,27580,803,77897,232424604,-1.536,6765222.7
Specials,2,Consensus Piranha Pass,9,22750,696930,3490,2036403,1221817445,-2.3,6123593.1
Specials,7,Top 10 Global Ranking,11,18490,428130,2520,1269541,993552610,-2.23,5850471.5
Legal,13,Lic. Japan,11,41030,2140000,5470,6345778,2200011735,-2.592,5628919.0
PR&Team,26,Consensus Explorer pass,10,20720,595990,2750,1756963,1112930217,-2.336,5134142.7
Markets,16,Margin trading x100,12,17430,403650,2190,1201616,936589022,-2.266,5076320.8
Specials,11,There are two chairs…,10,27630,1191955,3930,3513854,1482517839,-2.482,4886522.8
Specials,13,USDT on TON,12,24150,807300,2840,2403233,1296697216,-2.454,4558674.4
Markets,15,Margin trading x75,12,19670,605470,2470,1802410,1056357562,-2.389,4313312.7
Specials,12,Apps Center Listing,10,13810,357590,1960,1054166,741930936,-2.261,4067836.4
Legal,11,Lic. North America,11,15150,428130,2020,1269541,813772407,-2.326,3841518.8
Markets,1,Fan tokens,11,14990,428130,2000,1269541,805160182,-2.331,3757355.5
Markets,12,Margin trading x20,10,4830,59600,689,175699,259746250,-1.937,3002958.2
PR&Team,29,Welcome to Amsterdam,9,3890,41810,597,122167,209220749,-1.845,2989542.6
Markets,10,Shit coins,11,9310,214000,1240,634577,500275280,-2.237,2898738.5
Legal,7,Lic. EU,12,12870,403650,1620,1201616,691140602,-2.396,2776939.4
Markets,2,Staking,12,10730,282550,1350,841116,576433690,-2.321,2752639.6
Specials,9,Special Hamster Conference,13,18120,799200,2160,2385280,972150030,-2.568,2628653.2
Legal,12,Lic. Nigeria,8,1740,12830,292,23357,79093192,-1.481,2612998.2
Markets,19,Web3 integration,12,14130,524747,1770,1562107,758480288,-2.472,2558257.8
Legal,10,Lic. Australia,12,12160,403650,1530,1201616,652923853,-2.421,2476638.0
Markets,21,P2P trading,10,5380,100120,767,295151,289190803,-2.116,2214035.0
PR&Team,27,VC Labs,7,4320,85490,803,241459,232203132,-2.027,2182067.0
Markets,13,Margin trading x30,12,8940,282556,1120,841134,480084396,-2.402,1902469.0
Legal,9,Lic. South America,10,5380,119200,767,351398,289115476,-2.191,1862393.0
Specials,5,Hamster YouTube Channel,11,3940,64220,526,190432,211821394,-2.087,1733683.5
Legal,8,Lic. Asia,10,5110,119200,728,351398,274582346,-2.214,1677538.9
Markets,17,Derivatives,13,9970,399600,1190,1192640,535057046,-2.526,1593676.2
Markets,22,Trading bots,9,2330,29270,358,85525,125300735,-1.913,1530924.0
Specials,4,YouTube Gold Button,11,4340,107030,579,317377,233182203,-2.267,1260942.8
Markets,11,Margin trading x10,11,4340,107033,579,317386,233182191,-2.267,1260942.8
