Category,No.,Name,Level,Current PPH,Upgrade price,Upgrade PPH,Cumulative Cost,NPV,Efficiency,Combined Metric
Legal,13,Lic. Japan,12,46510,4030000,5850,11996818,5.6,0.866,1.614
Legal,14,Lic. Ethiopia,10,24860,834390,3540,2459761,3.01,1.036,1.515
Specials,2,Consensus Piranha Pass,10,26250,1191995,3730,3513971,3.17,0.982,1.483
Specials,11,There are two chairs…,13,40280,8000000,4820,23876682,4.81,0.764,1.446
PR&Team,26,Consensus Explorer pass,11,23670,1070000,3150,3172889,2.86,0.971,1.427
Specials,13,USDT on TON,14,30440,3320000,3480,9925882,3.66,0.825,1.388
Specials,7,Top 10 Global Ranking,13,24170,1590000,2890,4745490,2.92,0.897,1.362
Specials,8,NFT Collection Launch,11,18940,727822,2520,2158222,2.29,0.999,1.359
Markets,15,Margin trading x75,13,22150,1191955,2650,3557491,2.67,0.927,1.354
Specials,9,Special Hamster Conference,13,18120,799200,2160,2385280,2.19,0.957,1.297
Markets,16,Margin trading x100,14,21980,1660000,2510,4962941,2.65,0.872,1.295
Markets,14,Margin trading x50,14,24800,3322971,2830,9934764,2.98,0.801,1.275
Legal,11,Lic. North America,12,17170,807300,2160,2403233,2.07,0.956,1.272
Specials,12,Apps Center Listing,11,15780,642190,2100,1904296,1.91,0.989,1.27
Markets,1,Fan tokens,12,17000,807304,2140,2403245,2.05,0.954,1.266
Specials,3,Web3 academy launch,11,23670,4270940,3150,12664690,2.83,0.785,1.237
Markets,19,Web3 integration,12,14130,524747,1770,1562107,1.71,0.995,1.228
Legal,7,Lic. EU,13,14500,799200,1730,2385280,1.75,0.923,1.166
Specials,6,Bitcoin Pizza Day,11,1570,4281,210,12694,0.19,1.878,1.157
Specials,10,Short Squeeze,11,15780,1498456,2100,4443396,1.9,0.862,1.141
Legal,10,Lic. Australia,13,13690,799200,1630,2385280,1.65,0.914,1.131
Markets,2,Staking,13,12080,559440,1440,1669696,1.46,0.95,1.114
PR&Team,25,Tokenomics expert,10,6900,119200,984,351398,0.84,1.18,1.104
Markets,10,Shit coins,12,10550,403650,1320,1201616,1.28,0.989,1.096
Markets,13,Margin trading x30,12,8940,282556,1120,841134,1.08,1.024,1.057
Markets,17,Derivatives,13,9970,399600,1190,1192640,1.21,0.973,1.056
Legal,6,Lic. UAE,15,14070,3626815,1540,10855597,1.67,0.729,0.952
Markets,21,P2P trading,11,6150,179810,821,533193,0.74,1.051,0.92
PR&Team,27,VC Labs,8,5120,132630,859,382364,0.62,1.123,0.915
Legal,8,Lic. Asia,10,5110,119200,728,351398,0.62,1.11,0.902
Markets,18,Prediction markets,13,6940,279721,831,834851,0.84,0.973,0.897
Markets,12,Margin trading x20,12,6260,210820,788,627585,0.76,1.013,0.894
Legal,9,Lic. South America,11,6150,214060,821,634755,0.74,1.018,0.887
PR&Team,29,Welcome to Amsterdam,11,5120,128430,684,380835,0.62,1.081,0.873
Specials,5,Hamster YouTube Channel,11,3940,64220,526,190432,0.48,1.178,0.859
PR&Team,23,Ananymous transaction ban,14,6670,299060,774,894106,0.81,0.95,0.858
Specials,4,YouTube Gold Button,11,4340,107030,579,317377,0.53,1.085,0.809
Markets,11,Margin trading x10,11,4340,107033,579,317386,0.53,1.085,0.809
PR&Team,9,Influencers,11,4260,107030,568,317377,0.52,1.081,0.797
Legal,5,Anti money loundering,11,4420,128430,589,380835,0.53,1.051,0.775
PR&Team,11,IT team,11,3780,85620,505,253890,0.46,1.103,0.766
Legal,12,Lic. Nigeria,9,2030,20900,313,61069,0.25,1.348,0.746
PR&Team,21,Risk management team,13,5330,319680,639,954112,0.64,0.911,0.717
PR&Team,17,UX and UI team,12,3120,61350,394,182631,0.38,1.122,0.702
PR&Team,18,Security team,13,4020,159840,482,477056,0.49,0.975,0.665
PR&Team,19,QA team,12,3390,102680,428,305665,0.41,1.033,0.646
Markets,22,Trading bots,11,3070,89900,410,266581,0.37,1.05,0.618
PR&Team,24,Blocking suspicious accounts,12,2860,100910,360,300396,0.35,1.005,0.549
PR&Team,7,TikTok,11,1570,32110,210,95216,0.19,1.126,0.405
PR&Team,16,Two factor authentication,14,2820,332290,322,993455,0.34,0.816,0.347
PR&Team,14,Product team,11,1570,42810,210,126945,0.19,1.065,0.344
PR&Team,10,CEO,11,1570,42810,210,126945,0.19,1.065,0.344
PR&Team,5,HamsterTube,12,1600,48430,203,144170,0.19,1.034,0.313
PR&Team,28,Compliance officer,7,1030,19300,193,54511,0.12,1.229,0.308
Markets,9,Meme coins,10,1520,47680,216,140559,0.18,1.049,0.304
PR&Team,20,Antihacking shield,10,1520,57680,216,170039,0.18,1.013,0.268
PR&Team,3,X,12,1430,44400,180,132173,0.17,1.028,0.258
PR&Team,8,Coindesk,10,1100,23840,157,70279,0.13,1.127,0.241
Markets,5,Top 10 cmc pairs,10,1100,23840,157,70279,0.13,1.127,0.241
Specials,1,Hamster Kombat merch,7,865,16540,161,46715,0.1,1.222,0.222
PR&Team,2,HamsterBook,12,1250,40360,158,120146,0.15,1.021,0.197
PR&Team,13,Partenrship program,12,1250,40360,158,120146,0.15,1.021,0.197
PR&Team,22,Security Audition,10,1380,71520,197,210839,0.17,0.96,0.19
PR&Team,1,Support team,11,1100,32110,147,95216,0.13,1.051,0.165
Legal,2,KYB,11,947,21400,126,63457,0.11,1.103,0.144
PR&Team,12,Marketing,11,1100,42810,147,126945,0.13,0.998,0.112
PR&Team,6,HamsterGram,11,789,21400,105,63457,0.1,1.065,0.065
Markets,8,SocialFi tokens,11,789,21407,105,63478,0.1,1.065,0.065
Legal,4,SEC transparency,10,829,28600,118,84312,0.1,1.031,0.031
Markets,4,ETH pairs,11,632,12844,84,38086,0.08,1.126,0.029
Legal,3,Legal opinion,11,947,42810,126,126945,0.11,0.971,0.012
Markets,3,BTC pairs,12,716,20180,90,60073,0.09,1.046,0.0
PR&Team,4,Cointelegraph,11,632,14980,84,44420,0.08,1.092,-0.005
PR&Team,15,BisDev team,13,1000,79920,120,238528,0.12,0.871,-0.05
Markets,7,Defi2.0 tokens,11,632,21407,84,63478,0.08,1.022,-0.075
Markets,6,GameFi tokens,12,632,40360,158,120146,0.08,1.021,-0.076
Legal,1,KYC,15,251,72530,28,217093,0.03,0.72,-0.803
Markets,20,DAO,0,0,0,0,0,0.0,,
